number_of_violations,grade,facility_zip,STATE,poverty_percent,AirQuality,WaterPollution
10,A,90022,CA,11.0,36.62162162,61.29943503
12,A,90022,CA,11.0,36.62162162,61.29943503
12,A,90022,CA,11.0,36.62162162,61.29943503
1,A,90008,CA,11.0,36.62162162,61.29943503
3,A,90008,CA,11.0,36.62162162,61.29943503
1,A,90008,CA,11.0,36.62162162,61.29943503
8,A,90021,CA,11.0,36.62162162,61.29943503
10,A,90021,CA,11.0,36.62162162,61.29943503
8,A,90021,CA,11.0,36.62162162,61.29943503
2,A,90057,CA,11.0,36.62162162,61.29943503
4,A,90057,CA,11.0,36.62162162,61.29943503
4,A,90057,CA,11.0,36.62162162,61.29943503
8,A,90027,CA,11.0,36.62162162,61.29943503
8,A,90027,CA,11.0,36.62162162,61.29943503
10,A,90027,CA,11.0,36.62162162,61.29943503
2,A,90022,CA,11.0,36.62162162,61.29943503
3,A,90022,CA,11.0,36.62162162,61.29943503
4,A,90023,CA,11.0,36.62162162,61.29943503
2,A,90023,CA,11.0,36.62162162,61.29943503
4,A,90023,CA,11.0,36.62162162,61.29943503
14,A,90046,CA,11.0,36.62162162,61.29943503
18,A,90046,CA,11.0,36.62162162,61.29943503
16,A,90046,CA,11.0,36.62162162,61.29943503
16,A,90046,CA,11.0,36.62162162,61.29943503
16,A,90046,CA,11.0,36.62162162,61.29943503
14,A,90046,CA,11.0,36.62162162,61.29943503
12,A,90046,CA,11.0,36.62162162,61.29943503
6,A,90041,CA,11.0,36.62162162,61.29943503
10,A,90041,CA,11.0,36.62162162,61.29943503
10,A,90041,CA,11.0,36.62162162,61.29943503
10,A,90026,CA,11.0,36.62162162,61.29943503
14,A,90026,CA,11.0,36.62162162,61.29943503
14,A,90026,CA,11.0,36.62162162,61.29943503
8,A,90026,CA,11.0,36.62162162,61.29943503
16,A,90026,CA,11.0,36.62162162,61.29943503
5,A,90042,CA,11.0,36.62162162,61.29943503
4,A,90042,CA,11.0,36.62162162,61.29943503
5,A,90042,CA,11.0,36.62162162,61.29943503
4,A,90042,CA,11.0,36.62162162,61.29943503
6,A,90016,CA,11.0,36.62162162,61.29943503
8,A,90016,CA,11.0,36.62162162,61.29943503
4,A,90017,CA,11.0,36.62162162,61.29943503
9,B,90017,CA,11.0,36.62162162,61.29943503
7,B,90017,CA,11.0,36.62162162,61.29943503
8,B,90017,CA,11.0,36.62162162,61.29943503
10,B,90017,CA,11.0,36.62162162,61.29943503
11,B,90017,CA,11.0,36.62162162,61.29943503
11,B,90017,CA,11.0,36.62162162,61.29943503
16,A,90022,CA,11.0,36.62162162,61.29943503
14,A,90022,CA,11.0,36.62162162,61.29943503
16,A,90022,CA,11.0,36.62162162,61.29943503
10,A,90022,CA,11.0,36.62162162,61.29943503
10,A,90022,CA,11.0,36.62162162,61.29943503
14,A,90022,CA,11.0,36.62162162,61.29943503
12,A,90022,CA,11.0,36.62162162,61.29943503
10,A,90022,CA,11.0,36.62162162,61.29943503
6,A,90066,CA,11.0,36.62162162,61.29943503
5,A,90066,CA,11.0,36.62162162,61.29943503
5,A,90066,CA,11.0,36.62162162,61.29943503
1,A,90066,CA,11.0,36.62162162,61.29943503
3,A,90066,CA,11.0,36.62162162,61.29943503
4,A,90066,CA,11.0,36.62162162,61.29943503
5,A,90066,CA,11.0,36.62162162,61.29943503
4,A,90001,CA,11.0,36.62162162,61.29943503
4,A,90001,CA,11.0,36.62162162,61.29943503
5,A,90001,CA,11.0,36.62162162,61.29943503
5,A,90001,CA,11.0,36.62162162,61.29943503
4,A,90001,CA,11.0,36.62162162,61.29943503
4,A,90001,CA,11.0,36.62162162,61.29943503
4,A,90001,CA,11.0,36.62162162,61.29943503
6,A,90026,CA,11.0,36.62162162,61.29943503
7,A,90026,CA,11.0,36.62162162,61.29943503
8,A,90045,CA,11.0,36.62162162,61.29943503
6,A,90045,CA,11.0,36.62162162,61.29943503
4,A,90045,CA,11.0,36.62162162,61.29943503
4,A,90045,CA,11.0,36.62162162,61.29943503
4,A,90045,CA,11.0,36.62162162,61.29943503
5,A,90045,CA,11.0,36.62162162,61.29943503
4,A,90045,CA,11.0,36.62162162,61.29943503
5,A,90045,CA,11.0,36.62162162,61.29943503
6,A,90023,CA,11.0,36.62162162,61.29943503
12,A,90023,CA,11.0,36.62162162,61.29943503
15,A,90023,CA,11.0,36.62162162,61.29943503
12,A,90023,CA,11.0,36.62162162,61.29943503
12,A,90023,CA,11.0,36.62162162,61.29943503
9,A,90023,CA,11.0,36.62162162,61.29943503
12,A,90023,CA,11.0,36.62162162,61.29943503
10,A,90047,CA,11.0,36.62162162,61.29943503
6,A,90047,CA,11.0,36.62162162,61.29943503
12,A,90047,CA,11.0,36.62162162,61.29943503
6,A,90047,CA,11.0,36.62162162,61.29943503
10,A,90047,CA,11.0,36.62162162,61.29943503
2,A,90089,CA,11.0,36.62162162,61.29943503
2,A,90089,CA,11.0,36.62162162,61.29943503
1,A,90089,CA,11.0,36.62162162,61.29943503
3,A,90089,CA,11.0,36.62162162,61.29943503
1,A,90089,CA,11.0,36.62162162,61.29943503
16,A,90012,CA,11.0,36.62162162,61.29943503
10,A,90012,CA,11.0,36.62162162,61.29943503
14,A,90012,CA,11.0,36.62162162,61.29943503
8,A,90012,CA,11.0,36.62162162,61.29943503
16,A,90012,CA,11.0,36.62162162,61.29943503
4,A,90012,CA,11.0,36.62162162,61.29943503
8,A,90012,CA,11.0,36.62162162,61.29943503
5,A,90057,CA,11.0,36.62162162,61.29943503
6,A,90057,CA,11.0,36.62162162,61.29943503
6,A,90057,CA,11.0,36.62162162,61.29943503
